ORGANIZATION	AWARDS	FUNDING	CITY	STATE
ARKANSAS STATE UNIVERSITY	1	191760	STATE UNIVERSITY	AR
ARLENE FINK ASSOCIATES	1	149041	PACIFIC PALISADES	CA
"ARMAGEN TECHNOLOGIES, INC."	3	1454138	Calabasas	CA
"ARONORA, LLC"	3	2227894	PORTLAND	OR
"ARSERVICES, LTD"	1	672842	LORTON	VA
"ARTANN LABORATORIES, INC."	4	2538886	TRENTON	NJ
"ARUNA BIOMEDICAL, INC."	2	600170	ATHENS	GA
ASIAN PACIFIC PARTNERS/EMPOWER/ADV/LDSHP	1	313281	OAKLAND	CA
ASSESSMENTS ILLUSTRATED	1	420558	Allison Park	PA
ASSN FOR THE STUDY & DEVE OF COMMUNITY	1	149952	GAITHERSBURG	MD
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE	1	46500	Cranston	RI
ASSOCIATION FOR RES IN VISION & OPHTHAL	1	99999	ROCKVILLE	MD
ASSOCIATION OF AMERICAN MEDICAL COLLEGES	1	1084986	WASHINGTON	DC
ASSOCIATION OF SUBSPECIALTY PROFESSORS	1	71807	ALEXANDRIA	VA
ASSOCIATION/ASIAN PACIFIC CMTY HLTH ORGS	1	316159	OAKLAND	CA
"ASTHMA MANAGEMENT SYSTEMS, LLC"	1	197026	NEWARK	DE
"ASTRAEA THERAPEUTICS, LLC"	2	1000209	Mountain View	CA
"ASURAGEN, INC."	3	1697810	AUSTIN	TX
"ATHERSYS, INC."	2	1289795	CLEVELAND	OH
"ATLANTIC HEALTH SYSTEM, INC."	2	578281	MORRISTOWN	NJ
AUBURN UNIVERSITY AT AUBURN	7	2210427	AUBURN UNIVERSITY	AL
"AURA BIOSCIENCES, INC."	1	198141	CAMBRIDGE	MA
"AURITEC PHARMACEUTICALS, INC."	4	2089688	SANTA MONICA	CA
"AURORA HEALTH CARE, INC."	1	478698	MILWAUKEE	WI
"AUST DEVELOPMENT, LLC"	1	201492	MOUNTAIN VIEW	CA
"AVALANCHE BIOTECHNOLOGIES, INC."	1	248555	REDWOOD CITY	CA
"AVANSCI BIO, LLC"	1	597513	SALT LAKE CITY	UT
"AVANTGEN, INC."	2	424944	SAN DIEGO	CA
"AVATAR MEDICAL, LLC"	1	999641	BROOKLYN	NY
"AVAXIA BIOLOGICS, INC."	1	560010	Lexington	MA
"AVIA BIOSYSTEMS, LLC"	1	600912	EAST FALMOUTH	MA
AVIDBIOTICS CORPORATION	2	616078	SOUTH SAN FRANCISCO	CA
"AVIDITY NANOMEDICINES, LLC"	1	200000	LOS ANGELES	CA
"AVIV BIOMEDICAL, INC."	1	165920	LAKEWOOD	NJ
"AXERION THERAPEUTICS, INC."	2	425953	BRANFORD	CT
"AXIOMX, INC."	1	334656	BRANFORD	CT
"AXION BIOSYSTEMS, LLC"	1	769587	ATLANTA	GA
AXIOS BIOSCIENCES	1	288695	CAMBRIDGE	MA
"AYER AND KURIS RESEARCH ENGINEERING, INC"	1	193312	BOSTON	MA
"AZEVAN PHARMACEUTICALS, INC."	1	598813	BETHLEHEM	PA
AZUSA PACIFIC UNIVERSITY	2	206074	AZUSA	CA
"AZYP, LLC"	1	490424	ARLINGTON	TX
"BACKYARD BRAINS, INC."	1	599521	West Bloomfield	MI
"BAKER-CALLING, INC."	1	540669	ANN ARBOR	MI
"BALANCE THERAPEUTICS, INC."	1	785948	HILLBOROUGH	CA
BALL STATE UNIVERSITY	2	695697	MUNCIE	IN
BANNER ALZHEIMER'S INSTITUTE	1	33260235	PHOENIX	AZ
BANNER HEALTH	3	868553	PHOENIX	AZ
BANNER SUN HEALTH RESEARCH INSTITUTE	3	3167757	SUN CITY	AZ
BARNARD COLLEGE	3	850615	NEW YORK	NY
BARNES-JEWISH HOSPITAL	1	143154	SAINT LOUIS	MO
"BARRON ASSOCIATES, INC."	6	1722655	CHARLOTTESVILLE	VA
BARRY UNIVERSITY	2	227739	MIAMI SHORES	FL
"BASE PAIR BIOTECHNOLOGIES, INC."	1	199565	HOUSTON	TX
BASTYR UNIVERSITY	5	1486578	KENMORE	WA
BATES COLLEGE	2	719044	LEWISTON	ME
BATTELLE CENTERS/PUB HLTH RES & EVALUATN	37	33760570	COLUMBUS	OH
BATTELLE PACIFIC NORTHWEST LABORATORIES	16	12649489	RICHLAND	WA
"BAUER LABS, LLC"	1	200000	FLORENCE	OR
BAY AREA TUMOR INSTITUTE	1	486165	OAKLAND	CA
"BAYESSOFT, INC."	1	616928	DAVIS	CA
BAYLOR COLLEGE OF MEDICINE	438	185954665	HOUSTON	TX
BAYLOR RESEARCH INSTITUTE	14	11481069	DALLAS	TX
BAYLOR UNIVERSITY	1	266013	WACO	TX
"BAYOUCLINIC, INC."	1	1500000	BAYOU LA BATRE	AL
BAYSTATE MEDICAL CENTER	6	1227196	SPRINGFIELD	MA
"BCR DIAGNOSTICS, INC."	1	145637	PHOENIX	AZ
"BEHAVIOR THERAPY ASSOCIATES, LLP"	2	363192	ALBUQUERQUE	NM
"BEHAVIORAL DIAGNOSTICS, INC."	1	167918	IOWA CITY	IA
"BELLBROOK LABS, LLC"	1	194007	MADISON	WI
"BELLICUM PHARMACEUTICALS, INC."	1	361644	HOUSTON	TX
BENAROYA RESEARCH INST AT VIRGINIA MASON	30	18744020	SEATTLE	WA
"BERKELEY ANALYTICS, INC."	1	542313	BERKELEY	CA
BERNARD M. BARUCH COLLEGE	1	74755	NEW YORK	NY
"BEST MEDICAL INTERNATIONAL, INC."	1	140000	SPRINGFIELD	VA
BETH ISRAEL DEACONESS MEDICAL CENTER	267	118785811	BOSTON	MA
BETH ISRAEL MEDICAL CTR (NEW YORK)	2	823502	NEW YORK	NY
"BEXION PHARMACEUTICALS, INC."	1	960270	Covington	KY
"BEZENWA BIOMEDICAL ENGINEERING, LLC"	1	149128	MEQUON	WI
BIOCHEMANALYSIS CORPORATION	1	301159	CHICAGO	IL
"BIOCREDE, INC."	2	368098	ANN ARBOR	MI
"BIOCRYST PHARMACEUTICALS, INC."	1	4996104	DURHAM	NC
"BIODEL, INC."	2	584770	DANBURY	CT
"BIODEPTRONIX, LLC"	1	145179	CHAPEL HILL	NC
"BIODISCOVERY, LLC"	1	611577	ANN ARBOR	MI
BIOELECTROMED CORPORATION	1	1141554	BURLINGAME	CA
"BIOFIRE DIAGNOSTICS, INC."	2	1733555	SALT LAKE CITY	UT
"BIOFLUIDICA MICROTECHNOLOGIES, LLC"	1	999873	Chapel Hill	NC
BIOHELIX CORPORATION	1	300000	BEVERLY	MA
BIOINVENU CORPORATION	1	278688	EAST HANOVER	NJ
"BIOLEAP, LLC"	1	216678	Pennington	NJ
"BIOLOGICAL ANTI-INFECTIVE MEDICINES, LLC"	1	288362	BETHESDA	MD
BIOLOGICAL SCIENCES CURRICULUM STUDY	1	176736	COLORADO SPRINGS	CO
"BIOLOGICS RESOURCES, LLC"	1	890499	GERMANTOWN	MD
"BIOMARCK PHARMACEUTICALS, LTD"	1	1000000	DURHAM	NC
"BIOMARKER STRATEGIES, LLC"	1	1498569	Rockville	MD
BIOMEDICA MANAGEMENT CORPORATION	1	1012644	BROOKLYN	NY
BIOMEDICAL ACOUSTICS RESEARCH COMPANY	1	136443	EVANSTON	IL
BIOMEDICAL ENGINEERING SOCIETY	1	10000	LANDOVER	MD
BIOMEDICAL RESEARCH FDN/CENTRAL ARKANSAS	1	258603	LITTLE ROCK	AR
BIOMEDICAL RESEARCH INSTITUTE OF NEW MEX	2	584037	ALBUQUERQUE	NM
"BIOMEDICAL RESEARCH MODELS, INC."	2	446168	WORCESTER	MA
BIOMEDWARE	3	578047	ANN ARBOR	MI
"BIONEX PHARMACEUTICALS, LLC"	1	164502	EAST BRUNSWICK	NJ
BIOO SCIENTIFIC CORPORATION	2	454498	AUSTIN	TX
"BIOPAL, INC"	2	682125	WORCESTER	MA
"BIOPEPTIDES, INC."	1	300000	EAST SETAUKET	NY
BIOPHYSICAL SOCIETY	2	254788	Rockville	MD
BIOPICO	1	249586	Irvine	CA
"BIOPTIGEN, INC."	2	1326400	DURHAM	NC
"BIOQUAL, INC."	2	23105	ROCKVILLE	MD
BIOREALM	1	1000000	MONUMENT	CO
BIORELIANCE CORPORATION	1	311554	ROCKVILLE	MD
"BIOSENSE TECHNOLOGIES, INC."	1	613119	WOBURN	MA
"BIOSENSICS, LLC"	3	844800	Cambridge	MA
"BIOSENSING INSTRUMENT, INC."	1	350000	TEMPE	AZ
"BIOSENTINEL, LLC"	1	345570	DEL MAR	CA
BIO-SIGNAL GROUP CORPORATION	1	345053	NEW YORK	NY
"BIOSPEECH, INC."	1	234295	LAKE OSWEGO	OR
"BIOSPYDER TECHNOLOGIES, INC."	2	487008	RANCHO SANTA FE	CA
"BIOSTRATEGIES, LC"	1	285783	STATE UNIVERSITY	AR
"BIOSTRUXS, LLC"	1	497155	WESTLAKE VILLAGE	CA
BIOSURFACES	1	490704	ASHLAND	MA
"BIOTEX, INC."	2	511789	HOUSTON	TX
"BIOTHERAPEUTICS, INC."	2	336621	BLACKSBURG	VA
"BIOTHERYX, INC."	1	289518	CHAPPAQUA	NY
"BIOTIME, INC."	1	285423	ALAMEDA	CA
"BIOVIDRIA, INC."	1	100000	TUCSON	AZ
BLACKROCK MICROSYSTEMS	2	700000	SALT LAKE CITY	UT
BLENDERHOUSE	1	150000	PITTSBURGH	PA
BLOOD SYSTEMS RESEARCH INSTITUTE	9	11044343	SAN FRANCISCO	CA
"BLOODCENTER OF WISCONSIN, INC."	10	8595803	MILWAUKEE	WI
"BLUE MARBLE REHABILITATION, INC."	1	192382	LOS ANGELES	CA
"BLUE SKY DESIGNS, INC."	1	395167	MINNEAPOLIS	MN
BLUEFIELD STATE COLLEGE	1	107245	BLUEFIELD	WV
"BLUEGRASS ADVANCED MATERIALS, LLC"	1	217689	LEXINGTON	KY
"BLUESUN, INC."	1	51204	COLORADO SPRINGS	CO
"BODIMOJO, INC"	1	510794	MILTON	MA
BOISE STATE UNIVERSITY	2	421238	BOISE	ID
"BOLDER BIOTECHNOLOGY, INC."	2	1488794	BOULDER	CO
BOSTON COLLEGE	26	8118525	CHESTNUT HILL	MA
BOSTON MEDICAL CENTER	83	34357978	BOSTON	MA
BOSTON MICROMACHINES CORPORATION	1	550268	Cambridge	MA
BOSTON UNIVERSITY (CHARLES RIVER CAMPUS)	122	45230769	BOSTON	MA
BOSTON UNIVERSITY MEDICAL CAMPUS	240	107762256	BOSTON	MA
"BOULDER NONLINEAR SYSTEMS, INC."	2	321434	LAFAYETTE	CO
BOWDOIN COLLEGE	1	402129	BRUNSWICK	ME
BOWLING GREEN STATE UNIVERSITY	8	2041737	BOWLING GREEN	OH
BOYCE THOMPSON INST FOR PLANT RESEARCH	3	724381	ITHACA	NY
BRAIN BIO	1	237684	ROCKVILLE	MD
"BRAIN PLASTICITY, INC."	1	918744	SAN FRANCISCO	CA
"BRAINSYMPHONICS, LLC"	1	598020	NEW BERLIN	WI
BRANDEIS UNIVERSITY	85	25846230	WALTHAM	MA
BRENTWOOD BIOMEDICAL RESEARCH INSTITUTE	17	4057452	LOS ANGELES	CA
"BRIDGE 12 TECHNOLOGIES, INC."	3	662055	Framingham	MA
BRIGHAM AND WOMEN'S HOSPITAL	576	315919592	BOSTON	MA
BRIGHAM YOUNG UNIVERSITY	8	2315969	PROVO	UT
BRIGHT CLOUD INTERNATIONAL CORPORATION	1	616293	HIGHLAND PARK	NJ
BRIGHTOUTCOME INC.	2	618344	BUFFALO GROVE	IL
"BRIO DEVICE, LLC"	1	244710	ANN ARBOR	MI
"BRITEBIO, INC."	1	248998	RESEARCH TRIANGLE PARK	NC
"BROAD INSTITUTE, INC."	57	98855705	CAMBRIDGE	MA
"BRONX-LEBANON HOSP CTR (BRONX, NY)"	1	604491	NEW YORK	NY
BROOKHAVEN SCIENCE ASSOC-BROOKHAVEN LAB	4	3349782	UPTON	NY
BROOKLYN COLLEGE	19	4412612	NEW YORK	NY
BROWN UNIVERSITY	165	56210561	PROVIDENCE	RI
BUCK INSTITUTE FOR RESEARCH ON AGING	34	10473643	NOVATO	CA
"BUFFALO BIOLABS, LLC"	1	179664	BUFFALO	NY
BUFFALO STATE COLLEGE	2	397758	BUFFALO	NY
