Company name,Director name,Tied-to company name,Exec of tied-to company?,SIC,Fortune #,HQ city,HQ state,Tied-to SIC,Tied-to Fortune #,Tied-to HQ city,Tied-to HQ state,Exec of focal co?
ABBOTT LABORATORIES,"HODGSON, THOMAS R.",CASE CORP,0,2834,133,ABBOTT PARK,IL,3523,269,RACINE,WI,0
ABBOTT LABORATORIES,"FULLER, H. LAURANCE",CHASE MANHATTAN CORP NEW,0,2834,133,ABBOTT PARK,IL,6712,23,NEW YORK,NY,0
ABBOTT LABORATORIES,"SMITHBURG, WILLIAM D.",CORNING INC,0,2834,133,ABBOTT PARK,IL,3827,411,CORNING,NY,0
ABBOTT LABORATORIES,"WALTER, JOHN R.",DEERE & CO,0,2834,133,ABBOTT PARK,IL,3523,113,MOLINE,IL,0
ABBOTT LABORATORIES,"JONES, DAVID A., JR.",HUMANA INC,1,2834,133,ABBOTT PARK,IL,6324,165,LOUISVILLE,KY,0
ABBOTT LABORATORIES,"REYNOLDS, W. ANN",HUMANA INC,0,2834,133,ABBOTT PARK,IL,6324,165,LOUISVILLE,KY,0
ABBOTT LABORATORIES,"WALTER, JOHN R.",MANPOWER INC,1,2834,133,ABBOTT PARK,IL,7363,183,MILWAUKEE,WI,0
ABBOTT LABORATORIES,"REYNOLDS, W. ANN",MAYTAG CORP,0,2834,133,ABBOTT PARK,IL,3633,379,NEWTON,IA,0
ABBOTT LABORATORIES,"WEISS, WILLIAM L.",MERRILL LYNCH & CO INC,0,2834,133,ABBOTT PARK,IL,6211,19,NEW YORK,NY,0
ABBOTT LABORATORIES,"FULLER, H. LAURANCE",MOTOROLA INC,0,2834,133,ABBOTT PARK,IL,3674,34,SCHAUMBURG,IL,0
ABBOTT LABORATORIES,"SMITHBURG, WILLIAM D.",NORTHERN TRUST CORP,0,2834,133,ABBOTT PARK,IL,6712,543,CHICAGO,IL,0
ABBOTT LABORATORIES,"BURNHAM, DUANE L.",NORTHERN TRUST CORP,0,2834,133,ABBOTT PARK,IL,6712,543,CHICAGO,IL,1
ABBOTT LABORATORIES,"REYNOLDS, W. ANN",OWENS CORNING,0,2834,133,ABBOTT PARK,IL,3296,319,TOLEDO,OH,0
ABBOTT LABORATORIES,"WEISS, WILLIAM L.",QUAKER OATS CO,0,2834,133,ABBOTT PARK,IL,2043,325,CHICAGO,IL,0
ABBOTT LABORATORIES,"BURNHAM, DUANE L.",SARA LEE CORP,0,2834,133,ABBOTT PARK,IL,2251,64,CHICAGO,IL,1
ABBOTT LABORATORIES,"HODGSON, THOMAS R.",ST PAUL COS INC,0,2834,133,ABBOTT PARK,IL,6331,171,ST PAUL,MN,0
ABBOTT LABORATORIES,"WEISS, WILLIAM L.",TENNECO INC NEW,0,2834,133,ABBOTT PARK,IL,2653,219,GREENWICH,CT,0
ABM INDUSTRIES INC,"CATTANI, MARYELLEN B.",GOLDEN WEST FINANCIAL CORP,0,7349,834,SAN FRANCISCO,CA,6712,471,OAKLAND,CA,0
ACNIELSEN CORP,"BEEBY, ROBERT H.",COLUMBIA ENERGY GROUP,0,8732,867,STAMFORD,CT,4923,257,HERNDON,VA,0
ACNIELSEN CORP,"HENDRICKS, KAREN L.",COLUMBIA ENERGY GROUP,0,8732,867,STAMFORD,CT,4923,257,HERNDON,VA,0
ACNIELSEN CORP,"GRIFFIN, DONALD W.",EASTMAN CHEMICAL CO,0,8732,867,STAMFORD,CT,2821,345,KINGSPORT,TN,0
ACNIELSEN CORP,"HAYS, THOMAS C.",FORTUNE BRANDS INC,1,8732,867,STAMFORD,CT,3432,329,OLD GREENWICH,CT,0
ACNIELSEN CORP,"HOLLAND, ROBERT, JR.",FRONTIER CORP,0,8732,867,STAMFORD,CT,4813,537,ROCHESTER,NY,0
ACNIELSEN CORP,"HOLLAND, ROBERT, JR.",LEXMARK INTERNATIONAL GROUP IN,0,8732,867,STAMFORD,CT,3577,486,LEXINGTON,KY,0
ACNIELSEN CORP,"THURSTON, ROBERT N.",MCDONALD S CORP,0,8732,867,STAMFORD,CT,5812,134,OAK BROOK,IL,0
ACNIELSEN CORP,"HOLLAND, ROBERT, JR.",MONY GROUP INC,0,8732,867,STAMFORD,CT,6311,699,NEW YORK,NY,0
ACNIELSEN CORP,"MEYER, JOHN R.",MONY GROUP INC,0,8732,867,STAMFORD,CT,6311,699,NEW YORK,NY,0
ACNIELSEN CORP,"GRIFFIN, DONALD W.",OLIN CORP,1,8732,867,STAMFORD,CT,2812,588,NORWALK,CT,0
ACNIELSEN CORP,"HOLLAND, ROBERT, JR.",TRICON GLOBAL RESTAURANTS INC,0,8732,867,STAMFORD,CT,5812,190,LOUISVILLE,KY,0
ADC TELECOMMUNICATIONS INC,"ROSSO, JEAN-PIERRE",CASE CORP,1,3661,885,MINNETONKA,MN,3523,269,RACINE,WI,0
ADC TELECOMMUNICATIONS INC,"ROSSO, JEAN-PIERRE",CROWN CORK & SEAL CO INC,0,3661,885,MINNETONKA,MN,3411,198,PHILADELPHIA,PA,0
ADC TELECOMMUNICATIONS INC,"HOLLORAN, THOMAS E.",MEDTRONIC INC,0,3661,885,MINNETONKA,MN,3845,533,MINNEAPOLIS,MN,0
ADC TELECOMMUNICATIONS INC,"CADOGAN, WILLIAM J.",PENTAIR INC,0,3661,885,MINNETONKA,MN,3469,674,ST PAUL,MN,1
ADMINISTAFF INC,"LEVINSON, LINDA FAYNE",JACOBS ENGINEERING GROUP INC,0,8742,765,KINGWOOD,TX,8711,633,PASADENA,CA,0
ADMINISTAFF INC,"LEVINSON, LINDA FAYNE",NCR CORP,0,8742,765,KINGWOOD,TX,3571,258,DAYTON,OH,0
ADMINISTAFF INC,"BROWN, MICHAEL W.",WANG LABORATORIES INC,0,8742,765,KINGWOOD,TX,7379,690,BILLERICA,MA,0
ADVANCED MICRO DEVICES INC,"PALMER, ROBERT B.",ALLIEDSIGNAL INC,0,3674,550,SUNNYVALE,CA,3724,100,MORRISTOWN,NJ,0
ADVANTA CORP,"KSANSNAK, JAMES E.",ARAMARK CORP,1,6153,964,SPRING HOUSE,PA,5812,262,PHILADELPHIA,PA,0
ADVANTICA RESTAURANT GROUP INC,"ALLEN, ROBERT H.",FDX CORP,0,5812,665,SPARTANBURG,SC,4513,94,MEMPHIS,TN,0
ADVANTICA RESTAURANT GROUP INC,"ADAMSON, JAMES B.",KMART CORP,0,5812,665,SPARTANBURG,SC,5311,21,TROY,MI,1
ADVANTICA RESTAURANT GROUP INC,"SANDERS, ELIZABETH A.",WAL MART STORES INC,0,5812,665,SPARTANBURG,SC,5311,3,BENTONVILLE,AR,0
ADVANTICA RESTAURANT GROUP INC,"SANDERS, ELIZABETH A.",WASHINGTON MUTUAL INC,0,5812,665,SPARTANBURG,SC,6712,128,SEATTLE,WA,0
ADVANTICA RESTAURANT GROUP INC,"SANDERS, ELIZABETH A.",WELLPOINT HEALTH NETWORKS INC,0,5812,665,SPARTANBURG,SC,6324,256,THOUSAND OAKS,CA,0
AES CORP,"EMERSON, ALICE F.",BANKBOSTON CORP,0,4911,575,ARLINGTON,VA,6712,218,BOSTON,MA,0
AES CORP,"MCARTHUR, JOHN H.",CABOT CORP,0,4911,575,ARLINGTON,VA,2895,774,BOSTON,MA,0
AES CORP,"EMERSON, ALICE F.",CHAMPION INTERNATIONAL CORP,0,4911,575,ARLINGTON,VA,2621,289,STAMFORD,CT,0
AES CORP,"MCARTHUR, JOHN H.",COLUMBIA HCA HEALTHCARE CORP,0,4911,575,ARLINGTON,VA,8062,74,NASHVILLE,TN,0
AES CORP,"EMERSON, ALICE F.",EASTMAN KODAK CO,0,4911,575,ARLINGTON,VA,3861,121,ROCHESTER,NY,0
AES CORP,"SANT, ROGER W.",MARRIOTT INTERNATIONAL INC NEW,0,4911,575,ARLINGTON,VA,7011,206,BETHESDA,MD,1
AES CORP,"WATERMAN, ROBERT H., JR.",MCKESSON HBOC INC,0,4911,575,ARLINGTON,VA,5122,59,SAN FRANCISCO,CA,0
AES CORP,"MCARTHUR, JOHN H.",ROHM & HAAS CO,0,4911,575,ARLINGTON,VA,2821,408,PHILADELPHIA,PA,0
AES CORP,"MCARTHUR, JOHN H.",SPRINGS INDUSTRIES INC,0,4911,575,ARLINGTON,VA,2392,616,FORT MILL,SC,0
AES CORP,"JUNGERS, FRANCIS",THERMO ELECTRON CORP,0,4911,575,ARLINGTON,VA,3826,394,WALTHAM,MA,0
AETNA INC,"RODIN, JUDITH",AMR CORP,0,6311,61,HARTFORD,CT,4512,71,FORT WORTH,TX,0
AETNA INC,"GRAVES, EARL G.",AMR CORP,0,6311,61,HARTFORD,CT,4512,71,FORT WORTH,TX,0
AETNA INC,"HANCOCK, ELLEN M.",COLGATE PALMOLIVE CO,0,6311,61,HARTFORD,CT,2844,177,NEW YORK,NY,0
AETNA INC,"JORDAN, MICHAEL H.",DELL COMPUTER CORP,0,6311,61,HARTFORD,CT,3571,78,ROUND ROCK,TX,0
AETNA INC,"FRANKLIN, BARBARA HACKMAN",DOW CHEMICAL CO,0,6311,61,HARTFORD,CT,2821,75,MIDLAND,MI,0
AETNA INC,"RODIN, JUDITH",ELECTRONIC DATA SYSTEMS CORP,0,6311,61,HARTFORD,CT,7379,90,PLANO,TX,0
AETNA INC,"GRAVES, EARL G.",FEDERATED DEPARTMENT STORES IN,0,6311,61,HARTFORD,CT,5311,95,NEW YORK,NY,0
AETNA INC,"FRANKLIN, BARBARA HACKMAN",MILACRON INC,0,6311,61,HARTFORD,CT,3541,698,CINCINNATI,OH,0
AETNA INC,"DONALDSON, WILLIAM H.",PHILIP MORRIS COS INC,0,6311,61,HARTFORD,CT,2111,8,NEW YORK,NY,0
AETNA INC,"GRAVES, EARL G.",ROHM & HAAS CO,0,6311,61,HARTFORD,CT,2821,408,PHILADELPHIA,PA,0
AETNA INC,"GREENWALD, GERALD",TIME WARNER INC NEW,0,6311,61,HARTFORD,CT,7812,108,NEW YORK,NY,0
AFLAC INC,"ARMACOST, MICHAEL H.",APPLIED MATERIALS INC,0,6321,237,COLUMBUS,GA,3559,382,SANTA CLARA,CA,0
AFLAC INC,"KOBAYASHI, HISAO",CIT GROUP INC,1,6321,237,COLUMBUS,GA,6153,592,NEW YORK,NY,0
AFLAC INC,"AMOS, DANIEL P.",CIT GROUP INC,0,6321,237,COLUMBUS,GA,6153,592,NEW YORK,NY,1
AFLAC INC,"ARMACOST, MICHAEL H.",TRW INC,0,6321,237,COLUMBUS,GA,3714,142,CLEVELAND,OH,0
AGCO CORP DE,"FIKE, WILLIAM H.",TEREX CORP,0,3523,494,DULUTH,GA,3531,950,WESTPORT,CT,0
AGL RESOURCES INC,"SIEGEL, BETTY L.",EQUIFAX INC,0,4923,903,ATLANTA,GA,7323,789,ATLANTA,GA,0
AGL RESOURCES INC,"RIDDLE, D. RAYMOND",EQUIFAX INC,0,4923,903,ATLANTA,GA,7323,789,ATLANTA,GA,0
AGL RESOURCES INC,"SIEGEL, BETTY L.",NATIONAL SERVICE INDUSTRIES IN,0,4923,903,ATLANTA,GA,3646,647,ATLANTA,GA,0
AIR PRODUCTS & CHEMICALS INC,"HARDYMON, JAMES F.",AMERICAN STANDARD COS INC,1,2813,323,ALLENTOWN,PA,3585,249,PISCATAWAY,NJ,0
AIR PRODUCTS & CHEMICALS INC,"HAGENLOCKER, EDWARD E.",BOISE CASCADE CORP,0,2813,323,ALLENTOWN,PA,2621,268,BOISE,ID,0
AIR PRODUCTS & CHEMICALS INC,"WAGNER, HAROLD A.",CIGNA CORP,0,2813,323,ALLENTOWN,PA,6324,57,PHILADELPHIA,PA,1
AIR PRODUCTS & CHEMICALS INC,"HARDYMON, JAMES F.",CIRCUIT CITY STORES INC,0,2813,323,ALLENTOWN,PA,5731,182,RICHMOND,VA,0
AIR PRODUCTS & CHEMICALS INC,"LAUTENBACH, TERRY R.",CVS CORP,0,2813,323,ALLENTOWN,PA,5912,99,WOONSOCKET,RI,0
AIR PRODUCTS & CHEMICALS INC,"HARDYMON, JAMES F.",FLEET FINANCIAL GROUP INC,0,2813,323,ALLENTOWN,PA,6712,161,BOSTON,MA,0
AIR PRODUCTS & CHEMICALS INC,"LAUTENBACH, TERRY R.",FOOTSTAR INC,0,2813,323,ALLENTOWN,PA,5661,717,MAHWAH,NJ,0
AIR PRODUCTS & CHEMICALS INC,"CIZIK, ROBERT",HARRIS CORP FLA,0,2813,323,ALLENTOWN,PA,3812,390,MELBOURNE,FL,0
AIR PRODUCTS & CHEMICALS INC,"HARDYMON, JAMES F.",LEXMARK INTERNATIONAL GROUP IN,0,2813,323,ALLENTOWN,PA,3577,486,LEXINGTON,KY,0
AIR PRODUCTS & CHEMICALS INC,"BARRETT, TOM H.",MONY GROUP INC,0,2813,323,ALLENTOWN,PA,6311,699,NEW YORK,NY,0
AIR PRODUCTS & CHEMICALS INC,"BARRETT, TOM H.",NEWELL RUBBERMAID INC,0,2813,323,ALLENTOWN,PA,3951,407,FREEPORT,IL,0
AIR PRODUCTS & CHEMICALS INC,"WAGNER, HAROLD A.",PACCAR INC,0,2813,323,ALLENTOWN,PA,3713,210,BELLEVUE,WA,1
AIR PRODUCTS & CHEMICALS INC,"CIZIK, ROBERT",TEMPLE INLAND INC,0,2813,323,ALLENTOWN,PA,2631,405,DIBOLL,TX,0
AIR PRODUCTS & CHEMICALS INC,"WAGNER, HAROLD A.",UNITED TECHNOLOGIES CORP,0,2813,323,ALLENTOWN,PA,3724,43,HARTFORD,CT,1
AIR PRODUCTS & CHEMICALS INC,"FAIRBAIRN, URSULA F.",V F CORP,0,2813,323,ALLENTOWN,PA,2325,301,GREENSBORO,NC,0
AIR PRODUCTS & CHEMICALS INC,"LAUTENBACH, TERRY R.",VARIAN MEDICAL SYSTEMS INC,0,2813,323,ALLENTOWN,PA,3671,869,PALO ALTO,CA,0
AIRBORNE FREIGHT CORP,"ROSENBERG, RICHARD M.",BANK OF AMERICA CORP,0,4513,475,SEATTLE,WA,6712,11,CHARLOTTE,NC,0
AIRBORNE FREIGHT CORP,"BRIMMER, ANDREW F.",BORG WARNER AUTOMOTIVE INC,0,4513,475,SEATTLE,WA,3714,710,CHICAGO,IL,0
AIRBORNE FREIGHT CORP,"ROSENBERG, RICHARD M.",NORTHROP GRUMMAN CORP,0,4513,475,SEATTLE,WA,3721,180,LOS ANGELES,CA,0
AIRBORNE FREIGHT CORP,"MESSMER, HAROLD M., JR.",ROBERT HALF INTERNATIONAL INC,1,4513,475,SEATTLE,WA,7363,726,MENLO PARK,CA,0
AIRBORNE FREIGHT CORP,"CLINE, ROBERT S.",SAFECO CORP,0,4513,475,SEATTLE,WA,6331,260,SEATTLE,WA,1
AIRBORNE FREIGHT CORP,"ROSENBERG, RICHARD M.",SBC COMMUNICATIONS INC,0,4513,475,SEATTLE,WA,4813,35,SAN ANTONIO,TX,0
AIRBORNE FREIGHT CORP,"SWINDELLS, WILLIAM",WILLAMETTE INDUSTRIES INC,1,4513,475,SEATTLE,WA,2621,410,PORTLAND,OR,0
AIRGAS INC,"SHOBER, JOHN A. H.",HERCULES INC,0,2813,859,RADNOR,PA,2869,622,WILMINGTON,DE,0
AIRGAS INC,"MCCAUSLAND, PETER",HERCULES INC,0,2813,859,RADNOR,PA,2869,622,WILMINGTON,DE,1
AIRTOUCH COMMUNICATIONS INC,"BARTZ, CAROL A.",CADENCE DESIGN SYSTEMS INC,0,4812,313,SAN FRANCISCO,CA,7372,960,SAN JOSE,CA,0
AIRTOUCH COMMUNICATIONS INC,"SARIN, ARUN",CHARLES SCHWAB CORP,0,4812,313,SAN FRANCISCO,CA,6211,435,SAN FRANCISCO,CA,1
AIRTOUCH COMMUNICATIONS INC,"SHULTZ, GEORGE P.",CHARLES SCHWAB CORP,0,4812,313,SAN FRANCISCO,CA,6211,435,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"SCHWAB, CHARLES R.",CHARLES SCHWAB CORP,1,4812,313,SAN FRANCISCO,CA,6211,435,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"FISHER, DONALD G.",CHARLES SCHWAB CORP,0,4812,313,SAN FRANCISCO,CA,6211,435,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"GINN, SAM",CHEVRON CORP,0,4812,313,SAN FRANCISCO,CA,1311,38,SAN FRANCISCO,CA,1
AIRTOUCH COMMUNICATIONS INC,"TIEN, CHANG-LIN",CHEVRON CORP,0,4812,313,SAN FRANCISCO,CA,1311,38,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"BARTZ, CAROL A.",CISCO SYSTEMS INC,0,4812,313,SAN FRANCISCO,CA,3577,192,SAN JOSE,CA,0
AIRTOUCH COMMUNICATIONS INC,"BOSKIN, MICHAEL J.",EXXON CORP,0,4812,313,SAN FRANCISCO,CA,1311,4,IRVING,TX,0
AIRTOUCH COMMUNICATIONS INC,"FISHER, DONALD G.",GAP INC,1,4812,313,SAN FRANCISCO,CA,5651,174,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"SCHWAB, CHARLES R.",GAP INC,0,4812,313,SAN FRANCISCO,CA,5651,174,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"SHULTZ, GEORGE P.",GULFSTREAM AEROSPACE CORP,0,4812,313,SAN FRANCISCO,CA,3721,568,SAVANNAH,GA,0
AIRTOUCH COMMUNICATIONS INC,"GINN, SAM",HEWLETT PACKARD CO,0,4812,313,SAN FRANCISCO,CA,3571,14,PALO ALTO,CA,1
AIRTOUCH COMMUNICATIONS INC,"ROCK, ARTHUR",INTEL CORP,0,4812,313,SAN FRANCISCO,CA,3674,40,SANTA CLARA,CA,0
AIRTOUCH COMMUNICATIONS INC,"BOSKIN, MICHAEL J.",ORACLE CORP DE,0,4812,313,SAN FRANCISCO,CA,7372,234,REDWOOD CITY,CA,0
AIRTOUCH COMMUNICATIONS INC,"COX, C. LEE",PG&E CORP,0,4812,313,SAN FRANCISCO,CA,4931,65,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"HAZEN, PAUL",PHELPS DODGE CORP,0,4812,313,SAN FRANCISCO,CA,3331,479,PHOENIX,AZ,0
AIRTOUCH COMMUNICATIONS INC,"TIEN, CHANG-LIN",RAYCHEM CORP,0,4812,313,SAN FRANCISCO,CA,3678,724,MENLO PARK,CA,0
AIRTOUCH COMMUNICATIONS INC,"HAZEN, PAUL",SAFEWAY INC,0,4812,313,SAN FRANCISCO,CA,5411,48,PLEASANTON,CA,0
AIRTOUCH COMMUNICATIONS INC,"TIEN, CHANG-LIN",WELLS FARGO & CO NEW,0,4812,313,SAN FRANCISCO,CA,6712,62,SAN FRANCISCO,CA,0
AIRTOUCH COMMUNICATIONS INC,"HAZEN, PAUL",WELLS FARGO & CO NEW,1,4812,313,SAN FRANCISCO,CA,6712,62,SAN FRANCISCO,CA,0
AK STEEL HOLDING CORP,"JENKINS, ROBERT H.",CORDANT TECHNOLOGIES INC,0,3312,577,MIDDLETOWN,OH,3764,732,SALT LAKE CITY,UT,0
AK STEEL HOLDING CORP,"BORN, ALLEN",CYPRUS AMAX MINERALS CO,0,3312,577,MIDDLETOWN,OH,1021,547,ENGLEWOOD,CO,0
AK STEEL HOLDING CORP,"LESER, LAWRENCE A.",E W SCRIPPS CO OH,1,3312,577,MIDDLETOWN,OH,2711,855,CINCINNATI,OH,0
AK STEEL HOLDING CORP,"HILL, BONNIE G.",HOME DEPOT INC,0,3312,577,MIDDLETOWN,OH,5211,32,ATLANTA,GA,0
AK STEEL HOLDING CORP,"GEORGES, JOHN A.",INTERNATIONAL PAPER CO,0,3312,577,MIDDLETOWN,OH,2621,70,PURCHASE,NY,0
AK STEEL HOLDING CORP,"HILL, BONNIE G.",NIAGARA MOHAWK HOLDINGS INC,0,3312,577,MIDDLETOWN,OH,4931,398,NA,,0
AK STEEL HOLDING CORP,"GEORGES, JOHN A.",RYDER SYSTEM INC,0,3312,577,MIDDLETOWN,OH,7513,312,MIAMI,FL,0
AK STEEL HOLDING CORP,"JENKINS, ROBERT H.",SOLUTIA INC,0,3312,577,MIDDLETOWN,OH,2819,509,ST LOUIS,MO,0
AK STEEL HOLDING CORP,"GEORGES, JOHN A.",WARNER LAMBERT CO,0,3312,577,MIDDLETOWN,OH,2834,157,MORRIS PLAINS,NJ,0
ALASKA AIR GROUP INC,"KELLY, JOHN F.",AVISTA CORP,0,4512,684,SEATTLE,WA,4931,412,SPOKANE,WA,1
ALBERTO CULVER CO,"WIRTZ, WILLIAM W.",FIRSTAR CORP NEW,0,2844,715,MELROSE PARK,IL,6712,427,MILWAUKEE,WI,0
ALBERTSON S INC,"FERY, JOHN B.",BOEING CO,0,5411,92,BOISE,ID,3721,9,SEATTLE,WA,0
ALBERTSON S INC,"MICHAEL, GARY G.",BOISE CASCADE CORP,0,5411,92,BOISE,ID,2621,268,BOISE,ID,1
ALBERTSON S INC,"LUND, VICTOR L.",BORDERS GROUP INC MI,0,5411,92,BOISE,ID,5942,536,ANN ARBOR,MI,1
ALBERTSON S INC,"FERY, JOHN B.",HEWLETT PACKARD CO,0,5411,92,BOISE,ID,3571,14,PALO ALTO,CA,0
ALBERTSON S INC,"ANDRUS, CECIL D.",KEYCORP OHIO,0,5411,92,BOISE,ID,6712,238,CLEVELAND,OH,0
ALBERTSON S INC,"JOHNSON, CLARK A.",NIAGARA MOHAWK HOLDINGS INC,0,5411,92,BOISE,ID,4931,398,NA,,0
ALBERTSON S INC,"AMES, A. GARY",TEKTRONIX INC,0,5411,92,BOISE,ID,3825,636,WILSONVILLE,OR,0
ALBERTSON S INC,"BECK, TERESA",TEXTRON INC,0,5411,92,BOISE,ID,3721,144,PROVIDENCE,RI,0
ALCOA INC,"WHITMAN, MARINA V. N.",BROWNING FERRIS INDUSTRIES INC,0,3334,96,PITTSBURGH,PA,4953,332,HOUSTON,TX,0
ALCOA INC,"SCHACHT, HENRY B.",CHASE MANHATTAN CORP NEW,0,3334,96,PITTSBURGH,PA,6712,23,NEW YORK,NY,0
ALCOA INC,"WHITMAN, MARINA V. N.",CHASE MANHATTAN CORP NEW,0,3334,96,PITTSBURGH,PA,6712,23,NEW YORK,NY,0
ALCOA INC,"BELDA, ALAIN J P",CITIGROUP INC,0,3334,96,PITTSBURGH,PA,6211,7,NEW YORK,NY,1
ALCOA INC,"THOMAS, FRANKLIN A.",CITIGROUP INC,0,3334,96,PITTSBURGH,PA,6211,7,NEW YORK,NY,0
ALCOA INC,"BELDA, ALAIN J P",COOPER INDUSTRIES INC,0,3334,96,PITTSBURGH,PA,3646,317,HOUSTON,TX,1
ALCOA INC,"THOMAS, FRANKLIN A.",CUMMINS ENGINE CO INC,0,3334,96,PITTSBURGH,PA,3519,266,COLUMBUS,IN,0
ALCOA INC,"SCHACHT, HENRY B.",CUMMINS ENGINE CO INC,0,3334,96,PITTSBURGH,PA,3519,266,COLUMBUS,IN,0
ALCOA INC,"O'NEILL, PAUL H.",EASTMAN KODAK CO,0,3334,96,PITTSBURGH,PA,3861,121,ROCHESTER,NY,1
ALCOA INC,"SCHACHT, HENRY B.",JOHNSON & JOHNSON,0,3334,96,PITTSBURGH,PA,2844,51,NEW BRUNSWICK,NJ,0
ALCOA INC,"THOMAS, FRANKLIN A.",LUCENT TECHNOLOGIES INC,0,3334,96,PITTSBURGH,PA,3661,33,MURRAY HILL,NJ,0
ALCOA INC,"SCHACHT, HENRY B.",LUCENT TECHNOLOGIES INC,0,3334,96,PITTSBURGH,PA,3661,33,MURRAY HILL,NJ,0
ALCOA INC,"O'NEILL, PAUL H.",LUCENT TECHNOLOGIES INC,0,3334,96,PITTSBURGH,PA,3661,33,MURRAY HILL,NJ,1
ALCOA INC,"SCHACHT, HENRY B.",NEW YORK TIMES CO,0,3334,96,PITTSBURGH,PA,2711,495,NEW YORK,NY,0
ALCOA INC,"THOMAS, FRANKLIN A.",PEPSICO INC,0,3334,96,PITTSBURGH,PA,2086,54,PURCHASE,NY,0
ALCOA INC,"WHITMAN, MARINA V. N.",PROCTER & GAMBLE CO,0,3334,96,PITTSBURGH,PA,2841,17,CINCINNATI,OH,0
ALCOA INC,"GORMAN, JOSEPH T.",PROCTER & GAMBLE CO,0,3334,96,PITTSBURGH,PA,2841,17,CINCINNATI,OH,0
ALCOA INC,"MULRONEY, JOHN P.",ROHM & HAAS CO,1,3334,96,PITTSBURGH,PA,2821,408,PHILADELPHIA,PA,0
ALCOA INC,"MULRONEY, JOHN P.",TERADYNE INC,0,3334,96,PITTSBURGH,PA,3823,841,BOSTON,MA,0
ALCOA INC,"GORMAN, JOSEPH T.",TRW INC,1,3334,96,PITTSBURGH,PA,3714,142,CLEVELAND,OH,0
ALCOA INC,"WHITMAN, MARINA V. N.",UNOCAL CORP,0,3334,96,PITTSBURGH,PA,2911,304,EL SEGUNDO,CA,0
ALLEGHANY CORP,"CARMICHAEL, DAN R.",ARMCO INC,0,6331,748,NEW YORK,NY,3312,756,PITTSBURGH,PA,0
ALLEGHANY CORP,"WILL, JAMES F.",ARMCO INC,1,6331,748,NEW YORK,NY,3312,756,PITTSBURGH,PA,0
ALLEGHANY CORP,"BURNS, JOHN J., JR.",BURLINGTON NORTHERN SANTA FE C,0,6331,748,NEW YORK,NY,4011,178,FORT WORTH,TX,1
ALLEGHANY CORP,"JOHNSON, THOMAS S.",R R DONNELLEY & SONS CO,0,6331,748,NEW YORK,NY,2754,277,CHICAGO,IL,0
ALLEGHENY ENERGY INC,"BAUM, ELEANOR",AVNET INC,0,4911,542,HAGERSTOWN,MD,5065,275,PHOENIX,AZ,0
ALLEGHENY ENERGY INC,"METZ, FRANK A., JR.",NORRELL CORP,0,4911,542,HAGERSTOWN,MD,7363,872,ATLANTA,GA,0
