Company name,Director name,Title1,Age,Salary,Boards,HQ city,HQ state
ABM INDUSTRIES INC,"CATTANI, MARYELLEN B.",DIR,55,0,2,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"CHAVEZ, LINDA",DIR,51,0,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"EGAN, JOHN F.",EXO,63,476537,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"HELMS, LUKE S.",DIR,55,0,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"HORNGREN, CHARLES T.",DIR,72,0,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"KOTKINS, HENRY L., JR.",DIR,50,0,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"MANDLES, MARTINN H.",CTB,58,617697,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"ROSENBERG, THEODORE",DIR,90,0,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"STEELE, WILLIAM W.",CEO,62,1062488,1,SAN FRANCISCO,CA
ABM INDUSTRIES INC,"WALSH, WILLIAM E.",DIR,67,0,1,SAN FRANCISCO,CA
ACNIELSEN CORP,"BEEBY, ROBERT H.",DIR,67,0,2,STAMFORD,CT
ACNIELSEN CORP,"CONNORS, MICHAEL P.",VCB,43,1655600,1,STAMFORD,CT
ACNIELSEN CORP,"GRIFFIN, DONALD W.",DIR,62,0,3,STAMFORD,CT
ACNIELSEN CORP,"HAYS, THOMAS C.",DIR,63,0,2,STAMFORD,CT
ACNIELSEN CORP,"HENDRICKS, KAREN L.",NA,50,0,2,STAMFORD,CT
ACNIELSEN CORP,"HENDRICKSON, ROBERT M.",DIR,69,0,1,STAMFORD,CT
ACNIELSEN CORP,"HOLLAND, ROBERT, JR.",NA,58,0,5,STAMFORD,CT
ACNIELSEN CORP,"LIEVENSE, ROBERT J.",PRZ,53,2139810,1,STAMFORD,CT
ACNIELSEN CORP,"MEYER, JOHN R.",DIR,71,0,2,STAMFORD,CT
ACNIELSEN CORP,"PEMBERTON, BRIAN B.",DIR,54,0,1,STAMFORD,CT
ACNIELSEN CORP,"THURSTON, ROBERT N.",NA,66,0,2,STAMFORD,CT
ACNIELSEN CORP,"TRIVISONNO, NICHOLAS L.",CTB,51,2592442,1,STAMFORD,CT
ADAMS RESOURCES & ENERGY INC,"ABSHIRE, RICHARD B.",VPR,46,158891,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"ADAMS, K. S., JR.",CTB,76,167305,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"BARRETT, JOHN A.",DIR,61,0,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"LEWIS, CLAUDE H.",VPR,55,168782,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"REINAUER, E. C., JR.",DIR,63,0,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"SIMMONS, JUANITA G.",DIR,44,0,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"SMITH, THOMAS S.",DIR,48,0,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"WEBSTER, E. JACK, JR.",DIR,78,0,1,HOUSTON,TX
ADAMS RESOURCES & ENERGY INC,"WIECK, EDWARD",DIR,75,0,1,HOUSTON,TX
ADC TELECOMMUNICATIONS INC,"CADOGAN, WILLIAM J.",CTB,50,850884,2,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"CASTLE, JAMES C.",DIR,62,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"HOLLORAN, THOMAS E.",DIR,69,0,2,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"JOHNSON, B. KRISTINE",DIR,47,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"OSWALD, CHARLES W.",DIR,70,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"ROSS, ALAN E.",DIR,63,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"ROSSO, JEAN-PIERRE",DIR,58,0,3,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"SULLIVAN, DONALD M.",DIR,63,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"WHEATON, WARDE F.",DIR,69,0,1,MINNETONKA,MN
ADC TELECOMMUNICATIONS INC,"WUNSCH, JOHN D.",DIR,50,0,1,MINNETONKA,MN
ADMINISTAFF INC,"BROWN, MICHAEL W.",NA,53,0,2,KINGWOOD,TX
ADMINISTAFF INC,"BURSQUET, ANNE M.",DIR,49,0,1,KINGWOOD,TX
ADMINISTAFF INC,"DICKSON, DAVID C.",EXO,52,0,1,KINGWOOD,TX
ADMINISTAFF INC,"FIELDS, JACK M., JR.",DIR,47,0,1,KINGWOOD,TX
ADMINISTAFF INC,"LATTANZIO, PAUL S.",DIR,35,0,1,KINGWOOD,TX
ADMINISTAFF INC,"LEVINSON, LINDA FAYNE",NA,56,0,3,KINGWOOD,TX
ADMINISTAFF INC,"MCINTOSH, GERALD M.",DIR,58,0,1,KINGWOOD,TX
ADMINISTAFF INC,"RAWSON, RICHARD G.",CFO,50,380805,1,KINGWOOD,TX
ADMINISTAFF INC,"SARVADI, PAUL J.",CEO,42,312924,1,KINGWOOD,TX
ADVANCED MICRO DEVICES INC,"BAUR, FRIEDRICH",DIR,71,0,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"BLALACK, CHARLES M.",DIR,72,0,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"BROWN, R. GENE",DIR,66,0,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"PALMER, ROBERT B.",DIR,58,0,2,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"PREVITE, RICHARD",VCB,64,818593,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"RAZA,",PRZ,50,827761,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"ROBY, JOE L.",DIR,59,0,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"SANDERS, W. W., III",CTB,62,1803097,1,SUNNYVALE,CA
ADVANCED MICRO DEVICES INC,"SILVERMAN, LEONARD M.",DIR,59,0,1,SUNNYVALE,CA
ADVANTA CORP,"ALTER, DENNIS J.",CTB,56,0,1,SPRING HOUSE,PA
ADVANTA CORP,"BELLIS, ARTHUR P.",DIR,55,0,1,SPRING HOUSE,PA
ADVANTA CORP,"BOTEL, MAX",NA,59,0,1,SPRING HOUSE,PA
ADVANTA CORP,"DUNKELBERG, WILLIAM C.",DIR,56,0,1,SPRING HOUSE,PA
ADVANTA CORP,"DUNN, DANA BECKER",DIR,48,0,1,SPRING HOUSE,PA
ADVANTA CORP,"HALL, ROBERT C.",DIR,67,0,1,SPRING HOUSE,PA
ADVANTA CORP,"KSANSNAK, JAMES E.",NA,59,0,2,SPRING HOUSE,PA
ADVANTA CORP,"LUBNER, RONALD",NA,65,0,1,SPRING HOUSE,PA
ADVANTA CORP,"OLAFSSON, OLAF",PRZ,36,0,1,SPRING HOUSE,PA
ADVANTA CORP,"ROSOFF, WILLIAM A.",VCB,55,0,1,SPRING HOUSE,PA
ADVANTA CORP,"STOLPER, MICHAEL A.",DIR,43,0,1,SPRING HOUSE,PA
ADVANTICA RESTAURANT GROUP INC,"ADAMSON, JAMES B.",CTB,51,2814085,2,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"ALLEN, ROBERT H.",DIR,75,0,2,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"BLAYLOCK, RONALD E.",NA,39,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"BUSHEY, CRAIG S.",EXO,0,394793,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"FARRIS, VERA KING",NA,58,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"GAFFNEY, JAMES J.",NA,58,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"GOLD, IRWIN N.",NA,42,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"MARKS, ROBERT E.",NA,47,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"MORAN, CHARLES F.",NA,69,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"ROMANDETTI, JOHN NA",EXO,0,0,1,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"SANDERS, ELIZABETH A.",NA,53,0,4,SPARTANBURG,SC
ADVANTICA RESTAURANT GROUP INC,"SHEPHERD, DONALD R.",NA,62,0,1,SPARTANBURG,SC
AES CORP,"BAKKE, DENNIS W.",CEO,53,1820949,1,ARLINGTON,VA
AES CORP,"EMERSON, ALICE F.",NA,67,0,4,ARLINGTON,VA
AES CORP,"HEMPHILL, ROBERT F., JR.",NA,55,0,1,ARLINGTON,VA
AES CORP,"JUNGERS, FRANCIS",NA,72,0,2,ARLINGTON,VA
AES CORP,"MCARTHUR, JOHN H.",NA,65,0,5,ARLINGTON,VA
AES CORP,"O'LEARY, HAZEL R.",NA,62,0,1,ARLINGTON,VA
AES CORP,"SANT, ROGER W.",CTB,67,574400,2,ARLINGTON,VA
AES CORP,"UNTERBERG, THOMAS I.",NA,68,0,1,ARLINGTON,VA
AES CORP,"WATERMAN, ROBERT H., JR.",NA,62,0,2,ARLINGTON,VA
AETNA INC,"ABRAMSON, LEONARD",DIR,66,41334,1,HARTFORD,CT
AETNA INC,"COHEN, BETSY Z.",DIR,57,55000,1,HARTFORD,CT
AETNA INC,"DONALDSON, WILLIAM H.",DIR,67,62334,2,HARTFORD,CT
AETNA INC,"FRANKLIN, BARBARA HACKMAN",DIR,59,63334,3,HARTFORD,CT
AETNA INC,"GOODMAN, JEROME S.",DIR,64,57000,1,HARTFORD,CT
AETNA INC,"GRAVES, EARL G.",DIR,64,61000,4,HARTFORD,CT
AETNA INC,"GREENWALD, GERALD",DIR,63,55000,2,HARTFORD,CT
AETNA INC,"HANCOCK, ELLEN M.",DIR,56,50000,2,HARTFORD,CT
AETNA INC,"HUBER, RICHARD L.",CTB,62,2196358,1,HARTFORD,CT
AETNA INC,"JORDAN, MICHAEL H.",DIR,62,61334,2,HARTFORD,CT
AETNA INC,"KUEHLER, JACK D.",DIR,66,64334,1,HARTFORD,CT
AETNA INC,"O'KEEFE, FRANK R., JR.",DIR,69,65334,1,HARTFORD,CT
AETNA INC,"RODIN, JUDITH",DIR,54,53334,3,HARTFORD,CT
AFFILIATED COMPUTER SERVICES I,"BLACK, DAVID W.",EVP,36,0,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"BRACKEN, PETER A.",DIR,57,514328,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"DEASON, DARWIN",CTB,58,1737512,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"HORTENSTINE, HENRY G.",EVP,54,612506,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"KENDALL, CLIFFORD M.",DIR,67,0,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"KING, MARK A.",CFO,41,550000,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"O'NEILL, JOSEPH P.",DIR,51,0,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"RICH, JEFFREY A.",PRZ,38,962504,1,DALLAS,TX
AFFILIATED COMPUTER SERVICES I,"ROSSI, FRANK A.",DIR,61,0,1,DALLAS,TX
AFLAC INC,"AMOS, DANIEL P.",CEO,47,2130982,2,COLUMBUS,GA
AFLAC INC,"AMOS, JOHN SHELBY, II",SBO,46,0,1,COLUMBUS,GA
AFLAC INC,"AMOS, PAUL S.",CTB,72,2595520,1,COLUMBUS,GA
AFLAC INC,"ARMACOST, MICHAEL H.",NA,61,0,3,COLUMBUS,GA
AFLAC INC,"EDWARDS, M. DELMAR",NA,72,0,1,COLUMBUS,GA
AFLAC INC,"HARRIS, JOE FRANK",NA,63,0,1,COLUMBUS,GA
AFLAC INC,"HUDSON, ELIZABETH J.",NA,49,0,1,COLUMBUS,GA
AFLAC INC,"JANKE, KENNETH S., JR.",NA,64,0,1,COLUMBUS,GA
AFLAC INC,"KNAPP, CHARLES B.",NA,52,0,1,COLUMBUS,GA
AFLAC INC,"KOBAYASHI, HISAO",NA,63,0,2,COLUMBUS,GA
AFLAC INC,"OTAKE, YOSHIKI",SBO,59,1010493,1,COLUMBUS,GA
AFLAC INC,"PURDOM, E. STEPHEN",EVP,51,0,1,COLUMBUS,GA
AFLAC INC,"RIMER, BARBARA K.",NA,50,0,1,COLUMBUS,GA
AFLAC INC,"SCHWOB, HENRY C.",NA,71,0,1,COLUMBUS,GA
AFLAC INC,"SPENCER, J. KYLE",NA,72,0,1,COLUMBUS,GA
AFLAC INC,"VAUGHN, GLENN, JR.",NA,69,0,1,COLUMBUS,GA
AFLAC INC,"WRIGHT, ROBERT L.",NA,61,0,1,COLUMBUS,GA
AGCO CORP DE,"CLAYCAMP, HENRY J.",DIR,68,0,1,DULUTH,GA
AGCO CORP DE,"DEML, WOLFGANG",NA,53,0,1,DULUTH,GA
AGCO CORP DE,"FIKE, WILLIAM H.",DIR,62,0,2,DULUTH,GA
AGCO CORP DE,"HAMILTON, ROBINSON",NA,64,0,1,DULUTH,GA
AGCO CORP DE,"JOHANSESON, GERALD B.",DIR,58,0,1,DULUTH,GA
AGCO CORP DE,"JOHNSTON, RICHARD P.",DIR,68,0,1,DULUTH,GA
AGCO CORP DE,"LOEHNIS, ANTHONY D.",NA,63,0,1,DULUTH,GA
AGCO CORP DE,"MCDOWELL, ALAN S.",DIR,60,0,1,DULUTH,GA
AGCO CORP DE,"RATLIFF, ROBERT J.",CTB,67,3954853,1,DULUTH,GA
AGCO CORP DE,"SAUER, WOLFGANG",DIR,69,0,1,DULUTH,GA
AGCO CORP DE,"SHUMEDJA, JOHN M.",CEO,53,0,1,DULUTH,GA
AGL RESOURCES INC,"BARRON, FRANK, JR.",DIR,66,0,1,ATLANTA,GA
AGL RESOURCES INC,"BRUMBY, OTIS A., JR.",DIR,58,0,1,ATLANTA,GA
AGL RESOURCES INC,"HIGGINS, WALTER M.",PRZ,54,1605839,1,ATLANTA,GA
AGL RESOURCES INC,"JONES, DAVID R.",CTB,61,537695,1,ATLANTA,GA
AGL RESOURCES INC,"KNOX, WYCK A., JR.",DIR,58,0,1,ATLANTA,GA
AGL RESOURCES INC,"NORMAN, ALBERT G., JR.",DIR,69,0,1,ATLANTA,GA
AGL RESOURCES INC,"RIDDLE, D. RAYMOND",DIR,65,0,2,ATLANTA,GA
AGL RESOURCES INC,"SIEGEL, BETTY L.",DIR,67,0,3,ATLANTA,GA
AGL RESOURCES INC,"TARBUTTON, BEN J., JR.",DIR,68,0,1,ATLANTA,GA
AGL RESOURCES INC,"WARD, FELKER W., JR.",DIR,65,0,1,ATLANTA,GA
AIR EXPRESS INTERNATIONAL CORP,"FOWLER, JOHN M.",NA,0,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"HARTONG, HENDRIK J.",CTB,60,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"KELLER, DONALD J.",DIR,67,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"LEWIS, ANDREW L., IV",DIR,42,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"NINER, RICHARD T.",DIR,59,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"RADZIWILL, JOHN",DIR,51,0,1,DARIEN,CT
AIR EXPRESS INTERNATIONAL CORP,"ROHRMANN, GUENTER",PRZ,60,1175299,1,DARIEN,CT
AIR PRODUCTS & CHEMICALS INC,"BARRETT, TOM H.",DIR,68,0,3,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"BREMER, L. PAUL, III",DIR,57,0,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"CIZIK, ROBERT",DIR,67,0,3,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"FAIRBAIRN, URSULA F.",DIR,55,0,2,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"HAGENLOCKER, EDWARD E.",DIR,58,0,2,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"HARDYMON, JAMES F.",DIR,64,0,5,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"JONES, JOHN P., III",PRZ,48,1515237,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"KAMINSKI, JOSEPH J.",EVP,59,1531690,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"LAUTENBACH, TERRY R.",DIR,60,0,4,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"LUBBERS, RUUD F. M.",DIR,59,0,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"SHIINA, TAKEO",DIR,69,0,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"THOMAS, LAWRASON D.",DIR,64,0,1,ALLENTOWN,PA
AIR PRODUCTS & CHEMICALS INC,"WAGNER, HAROLD A.",CTB,63,3316511,4,ALLENTOWN,PA
AIRBORNE FREIGHT CORP,"BRAZIER, ROBERT G.",PRZ,61,930250,1,SEATTLE,WA
AIRBORNE FREIGHT CORP,"BRIMMER, ANDREW F.",DIR,72,0,2,SEATTLE,WA
AIRBORNE FREIGHT CORP,"CAREY, JAMES H.",NA,66,0,1,SEATTLE,WA
AIRBORNE FREIGHT CORP,"CLINE, ROBERT S.",CTB,61,1142588,2,SEATTLE,WA
AIRBORNE FREIGHT CORP,"KIM, ANDREW B.",NA,62,0,1,SEATTLE,WA
AIRBORNE FREIGHT CORP,"MESSMER, HAROLD M., JR.",DIR,53,0,2,SEATTLE,WA
AIRBORNE FREIGHT CORP,"ROSENBERG, RICHARD M.",DIR,68,0,4,SEATTLE,WA
AIRBORNE FREIGHT CORP,"SWINDELLS, WILLIAM",DIR,68,0,2,SEATTLE,WA
AIRBORNE FREIGHT CORP,"WILDEROTTER, MARY AGNES",DIR,44,0,1,SEATTLE,WA
AIRGAS INC,"BROWN, W. THACHER",DIR,50,0,1,RADNOR,PA
AIRGAS INC,"FOSTER, FRANK B., III",DIR,64,0,1,RADNOR,PA
AIRGAS INC,"GUPTA, RAJIV L.",DIR,52,0,1,RADNOR,PA
AIRGAS INC,"KARABELAS, ARGERIS N.",DIR,45,0,1,RADNOR,PA
AIRGAS INC,"MCCAUSLAND, PETER",CTB,48,1052570,2,RADNOR,PA
AIRGAS INC,"NAYLOR, ROBERT E., JR.",DIR,65,0,1,RADNOR,PA
AIRGAS INC,"SHOBER, JOHN A. H.",DIR,65,0,2,RADNOR,PA
AIRGAS INC,"STOTT, MERRIL L.",DIR,69,0,1,RADNOR,PA
AIRGAS INC,"THOMAS, LEE M.",DIR,0,0,1,RADNOR,PA
AIRGAS INC,"YOHE, ROBERT L.",DIR,62,0,1,RADNOR,PA
AIRTOUCH COMMUNICATIONS INC,"BARTZ, CAROL A.",DIR,49,0,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"BOSKIN, MICHAEL J.",DIR,51,0,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"COX, C. LEE",DIR,57,0,2,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"FISHER, DONALD G.",DIR,69,0,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"GINN, SAM",CTB,60,2154999,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"HAZEN, PAUL",DIR,56,0,4,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"ROCK, ARTHUR",DIR,71,0,2,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"SARIN, ARUN",PRZ,43,1.33E+07,2,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"SCHWAB, CHARLES R.",DIR,60,0,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"SHULTZ, GEORGE P.",DIR,77,0,3,SAN FRANCISCO,CA
AIRTOUCH COMMUNICATIONS INC,"TIEN, CHANG-LIN",DIR,62,0,4,SAN FRANCISCO,CA
AK STEEL HOLDING CORP,"BORN, ALLEN",DIR,65,0,2,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"GEORGES, JOHN A.",DIR,68,0,4,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"HILL, BONNIE G.",DIR,57,0,3,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"JENKINS, ROBERT H.",DIR,56,0,3,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"LESER, LAWRENCE A.",DIR,63,0,2,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"NORTHAM, ROBERT E.",DIR,68,0,1,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"TANG, CYRUS",DIR,69,0,1,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"THOMSON, JAMES A.",DIR,54,0,1,MIDDLETOWN,OH
AK STEEL HOLDING CORP,"WARDROP, RICHARD M., JR.",CTB,53,4630889,1,MIDDLETOWN,OH
ALASKA AIR GROUP INC,"COSGRAVE, RONALD F.",DIR,67,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"FATE, MARY JANE",DIR,65,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"KELLY, JOHN F.",CTB,54,.,2,SEATTLE,WA
ALASKA AIR GROUP INC,"KENNEDY, BRUCE R.",DIR,60,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"LANGLAND, MARC R.",DIR,57,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"MALLOTT, BYRON I.",DIR,55,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"RINDLAUB, JOHN V.",DIR,54,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"STONESIFER, PATRICIA Q.",DIR,42,.,1,SEATTLE,WA
ALASKA AIR GROUP INC,"WIEN, RICHARD A.",DIR,63,.,1,SEATTLE,WA
ALBERTO CULVER CO,"ABBOUD, A. ROBERT",DIR,69,0,1,MELROSE PARK,IL
ALBERTO CULVER CO,"ATWATER, A. G.",DIR,55,0,1,MELROSE PARK,IL
ALBERTO CULVER CO,"BERNICK, CAROL L.",VCB,45,942593,1,MELROSE PARK,IL
ALBERTO CULVER CO,"BERNICK, HOWARD B.",CEO,46,2005673,1,MELROSE PARK,IL
ALBERTO CULVER CO,"GWINN, ROBERT P.",DIR,91,0,1,MELROSE PARK,IL
ALBERTO CULVER CO,"LAVIN, BERNICE E.",VCB,73,1137940,1,MELROSE PARK,IL
ALBERTO CULVER CO,"LAVIN, LEONARD H.",CTB,79,2250433,1,MELROSE PARK,IL
ALBERTO CULVER CO,"MUCHIN, ALLAN B.",DIR,62,0,1,MELROSE PARK,IL
ALBERTO CULVER CO,"ROCK, ROBERT H.",DIR,48,0,1,MELROSE PARK,IL
ALBERTO CULVER CO,"VISOTSKY, HAROLD M.",DIR,74,0,1,MELROSE PARK,IL
